brand_name,review_year,review_month,total_score,review_date
닥터지,2022,11,0.161716235,2022년 11월
닥터지,2022,12,0.146138548,2022년 12월
닥터지,2023,1,0.145430776,2023년 1월
닥터지,2023,2,0.155386784,2023년 2월
닥터지,2023,3,0.148380035,2023년 3월
닥터지,2023,4,0.15363828,2023년 4월
라네즈,2022,11,0.199068587,2023년 5월
라네즈,2022,12,0.192300137,2023년 6월
라네즈,2023,1,0.184618259,2023년 7월
라네즈,2023,2,0.174720726,2023년 8월
라네즈,2023,3,0.14770444,2023년 9월
라네즈,2023,4,0.158766846,2023년 10월
라운드랩,2022,11,0.167314591,2023년 11월
라운드랩,2022,12,0.155075238,2023년 12월
라운드랩,2023,1,0.157339746,2024년 1월
라운드랩,2023,2,0.147278111,2024년 2월
라운드랩,2023,3,0.141089805,2024년 3월
라운드랩,2023,4,0.140608034,2024년 4월
아누아,2022,11,0.180595194,2024년 5월
아누아,2022,12,0.180690416,2024년 6월
아누아,2023,1,0.168686349,2024년 7월
아누아,2023,2,0.169455794,2024년 8월
아누아,2023,3,0.164885592,2024년 9월
아누아,2023,4,0.178195096,2024년 10월
아이소이,2022,11,0.176880333,2024년 11월
아이소이,2022,12,0.157109704,2024년 12월
아이소이,2023,1,0.155402036,2025년 1월
아이소이,2023,2,0.14761776,2025년 2월
아이소이,2023,3,0.154543456,2025년 3월
아이소이,2023,4,0.154947039,2025년 4월
에스트라,2022,11,0.18933988,2025년 5월
에스트라,2022,12,0.186984043,2025년 6월
에스트라,2023,1,0.173777001,2025년 7월
에스트라,2023,2,0.156783055,2025년 8월
에스트라,2023,3,0.137479985,2025년 9월
에스트라,2023,4,0.138571674,2025년 10월
